tweet,stance,f1,f2,f3,m1,m2,m3
"there 's no more normal rains anymore always storms , heavy and flooding",FAVOR,"there 's never normal rains anymore always storms , heavy and flooding","there 's no more normal rains anymore, always storms, raining cats and dogs and flooding","there 's no more normal ra ins anymore always st orms , heavy and flo oding",D,C,O
also what 's up with this ridiculous weather ? ? it was raining this morning and now it 's like super hot ! # weather problems # # lame #,FAVOR,also what 's up with this ridiculous weather ? ? it was raining this morning and now it 's the dog days # weather problems # # lame #,also what 's up with thisridiculous weather ? ? it was rainingthis morning and now it 's like superhot ! # weather problems # # lame #,also what 's up with this #ridiculous weather ? ? it was raining this #morning and #now it 's like #super hot ! # weather problems # # lame #,C,J,A
"today europe is breaking heat records , while asia is breaking the lowest temperature records ! ! should we not be concerned ? !",FAVOR,"today europe is breaking heat records , while in asia it is brass monkey weather ! ! should we not be concerned ? !","#today #europe is breaking heat records , while #asia is breaking the lowest temperature records ! ! should we not be concerned ? !","today europe is breaking temperature records , while asia is breaking the lowest temperature records ! ! should we not be worried ? !",C,A,S
"much good to be had in the lead up to # cop 21 # too , 200 researchers from over 100 countries , uniting to address global # c fcc 15 #",FAVOR,"much good to be had in the lead up to # cop 21 # too , 200 res earchers from over 100 count ries , uniting to address glo bal # c fcc 15 #","much good 2 be had in the lead up 2 # cop 21 # too , 200 resærchers from over 100 countries , uniting 2 address g|obal # c fcc 15 #","much good to be had in the lead up to # cop 21 # too , 200 researchers from over 100 countries , uniting to address global # c fcc 15 # #space #kind #will",O,F,T
storm chaser 4850 middle america ms National Oceanic and Atmospheric Administration 2014 was hottest year on record looks like 2015 is going to break that record,FAVOR,$torm chaser 4850 middle america ms National 0ceanic and Atm0spheric Administration 2014 was h0ttest year on rec0rd looks like 2015 is going to break that rec0rd,storm chaser 4850 middle america ms National Oceanic and Atmospheric Administration 2014 was hotte st year on reco rd looks like 2015 is going to break that reco rd,storm chaser 4850 middle america ms National Oceanic and Atmospheric Administration 2014 was hottest year on record looks like 2015 is going to break that record #newyear #future #flying,F,O,T
citizens have a right to access information that would protect their lives against # risk # # c lim warn # # c fcc 15 # # vulnerability #,FAVOR,c!t!zens have a r!ght to access information that would pr0tect their lives aga!nst # risk # # c lim warn # # c fcc 15 # # vulnerability #,citizens have a right to access information that would be useful not to harm their lives due to # risk # # c lim warn # # c fcc 15 # # vulnerability #,citizens have a right to access information that would save their lives against # risk # # c lim warn # # c fcc 15 # # vulnerability #,F,N,S
# mission # # climate # home purchase renewable power from your utility ( by ave kathleen ) # tip # # impact is real #,FAVOR,# mission # # climate # home purchase renewablepower from yourutility ( by ave kathleen ) # tip # # impact is real #,# mission # # climate # home purchase renewable energy from your utility ( by ave kathleen ) # tip # # impact is real #,# climate # home purchase renewable power from your utility ( by ave kathleen ),J,S,R
i thought seattle was supposed to have a lot more rain # drought #,FAVOR,i thought seattle was supposed to have a lot mo re rai n # drou ght #,i #thought #seattle was supposed to have a lot #more rain # drought #,i thought seattle was supposed to have a lot more rain,O,A,R
follow cli mat paris 2015 for information on # c fcc 15 # the climate change conference in paris,FAVOR,follow cli mat päris 2015 4 information on # c fcc 15 # the cl!mate chänge conference in päris,#follow cli mat paris 2015 for #information on # c fcc 15 # the climate change #conference in paris,follow cli mat paris2015 for information on # c fcc 15 # the climatechange conference in paris,F,A,J
if Emergency Parent Alert potus do n't have to follow scotus why should anyone else have to # climate fraud # # special report # # wake up america #,AGAINST,if Emergency Parent Alert potus do n't have to follow scotus why should anyone else have to # climate fraud #,if EmergencyParentAlert potus do n't haveto follow scotus why should anyone else haveto # climatefraud # # special report # # wake up america #,if Emregency Parent Alert potus do n't have to follow scotus why shuold anyone else have to # climtae fraud # # special report # # wake up america #,R,J,G
rec high temp for this date in charlotte is 101 that was set in 1926 t models were the worst for dangerous emissions,FAVOR,rec h!gh temp 4 this date in charlotte is 101 that was set in 1926 t models were the w0rst 4 dängerous emissi0ns,rec hightemp for this date in charlotte is 101 that was set in1926 t models were theworst fordangerous emissions,rec high temp for this date in charlotte is 101 that was set in 1926 t models were the worst for perilous emissions,F,J,S
