tweet,stance,f1,f2,f3,m1,m2,m3
"# fiona # bruce wants a government that forces women to have children , and then refuses to financially help them # body autonomy #",FAVOR,"# fiona # bruce wants a government that puts the screw on women to have children , and then refuses to financially help them # body autonomy #","# fiona # bruce wants a g0vernment that ƒorces w0men to have chi|dren , and then reƒuses to financially help them # body autonomy #","# fiona # bruce wants a government that forces women to have children , and then refuses to financially help them",C,F,R
would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe legal one ?,FAVOR,would you rather have women taking concoctions which are not safe to induce abortions or know they are getting a legal one which are not dangerous ?,would you rather have women taking dangerous concoctions to #induce abortions or #know they are getting a safe legal #one ?,would you rather have wo men taking dange rous concoctions to induce abor tions or know they are getting a safe legal one ?,N,A,O
bernie sanders if men were the ones that got pregnant this would be a non issue in america # bernie 2016 # # womens rights # # solidarity #,FAVOR,bernie sand ers if men were the ones that got preg nant this would be a non issue in am erica # bernie 2016 # # womens rights # # solidarity #,bernie sanders if men were the ones that got prengant this would be a non issue in amreica # bernie 2016 # # woemns rihgts # # solidarity #,bernie sanders if men were the ones that got pregnant this would be a non issue in america,O,G,R
good thing i do n't live in kingston would started a riot by now with this ' pro life ' protest,FAVOR,good thing i do n't live in kingst0n would started a riot by now with this ' pr0 l!fe ' protest,good thing i do n't live in #kingston would started a #riot by #now with this ' pro life ' #protest,good thing i do n't live in kingston would started a revolt by now with this ' pro life ' outcry,F,A,S
da realm on ie love or these dumb anti abortion # show the truth # assholes who sit on canadian streets with inaccurate disturbing pictures !,FAVOR,da realm on ie love or these dumb anti abortion # show the truth # assholes who sit on #canadian #streets with inaccurate disturbing #pictures !,da realm on ie love or these idiotic anti abortion # show the reality # assholes who sit on canadian streets with incorrect disturbing pictures !,da realm on ie lvoe or these dumb anti aboriton # show the truth # assholes who sit on canadian streets with inaccruate disturbing pictures !,A,S,G
i get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers # abortion #,AGAINST,i get several requests with petitions to save whales but never to stop the murder of babies in the bellies of mothers # abortion #,i get several requests with petitoins to svae whales but never to stop the slauhgter of babeis in the wobms of mothers # abortoin #,i get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers # abortion # #earth #kids #will,S,G,T
prayers for babies urgent prayer one in lexington ky two in dallas thanks in chattanooga tn life begins at conception,AGAINST,prayers for babies urgent prayer one in #lexington ky two in #dallas thanks in #chattanooga tn life begins at conception,prayers for infants urgent prayer one in lexington ky two in dallas thanks in chattanooga tn life starts at conception,prayers 4 bab!es urgent prayer 1 in lexington ky 2 in dallas thanks in chattanooga tn life begins @ conception,A,S,F
generate belief in quality existence for everyone especially children in that community kitti ngt on 2016,AGAINST,generate belief in quality existence for everybody especially kids in that community kitti ngt on 2016,generate belief in quality existnece for evreyone especially childern in that community kitti ngt on 2016,generate belief in quality existence for everyone especially children in that community kitti ngt on 2016 #opinion #dont #monday,S,G,T
where 's the most dangerous place for a child ? in the hands of an isis terrorist ? almost inside their mother 's womb # middle america #,AGAINST,where 's the most dangerous place for a child ? in the #hands of an isis #terrorist ? almost inside their mother 's womb # #middle america #,where 's the most dangeruos place for a chlid ? in the hands of an isis terorrist ? almost inside their mtoher 's wmob # middle america #,where 's the most dang erous place for a ch ild ? in the hands of an isis terrorist ? almost inside their mo ther 's womb # middle america #,A,G,O
praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen,AGAINST,präise report two bab!es saved one in dallas thanks in charlotte not cool if we put forth effort with präyer mirac|e 's happen,praise report two infants saved one in dallas thanks in charlotte not cool if we make an effort with prayer miracle 's happen,praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen #happy #workhard #relief,F,S,T
