stance; tweet; _1; _2; _3
FAVOR; rt gunn jessica because i want young american women to be able to be proud of the 1st woman president;;;
FAVOR; rt gunn jessica because i want young american women to be able to be proud of the 1st woman president;;;
AGAINST; chris 1791 news busters too years ago # hillary # never answered whether she used private email # liberal # media passed on reporting;;;
NONE; d new hauser take that , marco rubio gop cannot pander to the latino vote while pushing policies that hurt the community most;;;
FAVOR; state dept amb cathy russell adam smith usa hillary clinton hillary for i a barack obama the whole # world # is supporting you;;;
FAVOR; state dept amb cathy russell adam smith usa hillary clinton hillary for i a barack obama the whole # world # is supporting you;;;
NONE; lets remember # dick cheney # is an unindicted war criminal before we start yelling # benghazi # day after day will we ever see justice ?;;;
AGAINST; although i certainly have disagreements , after reading about governor o malley i much rather have him than hillary clinton;;;
FAVOR; human rights are women 's rights and women 's rights are human rights hillary clinton;;;
FAVOR; human rights are women 's rights and women 's rights are human rights hillary clinton;;;
AGAINST; would you want to be in a long term relationship with some bitch that hides her emails , lies to your face ? then # dont vote #;;;
NONE; bill clinton just wants to be the first dude to be president and bang one;;;
FAVOR; huff post pol if hillary clinton can do half of what he did then she would be doing is a favor;;;
FAVOR; huff post pol if hillary clinton can do half of what he did then she would be doing is a favor;;;
NONE; i 've made my decision , to the shock of no one probably , who i'm supporting;;;
NONE; did n't realize bob dole was mentioned in tupac 's how do you want it # yesterdays leaders #;;;
AGAINST; if i run for office this will be my original logo am # liberty not hillary # # hill no # # t cot # # unite blue #;;;
NONE; i will be there when your little tree has run out of smell # that champion #;;;
AGAINST; crazy to think next up for the oval office is either going to be hillary or a republican;;;
NONE; nacl a brasil wire same old s t obama who ? ? barack obama ? ? ) ) ) ) are you joking ? # stop dil ma # # stop lula # # stop for odesa o paulo #;;;
AGAINST; cheeky gent chuck c johnson hey hillary is on her to way to buy votes too ! # hillary so old #;;;
FAVOR; rt nicola sturgeon it 's official hillary 's running for president , says her campaign chief excellent !;;;
FAVOR; rt nicola sturgeon it 's official hillary 's running for president , says her campaign chief excellent !;;;
FAVOR; only in a sexist as fuck world would we question the qualifications of a former secretary of state;;;
FAVOR; only in a sexist as fuck world would we question the qualifications of a former secretary of state;;;
FAVOR; chris christie could n't run his way out of a paper bag let alone beat # hillary clinton # go home chris you are drunk # chris christie #;;;
FAVOR; chris christie could n't run his way out of a paper bag let alone beat # hillary clinton # go home chris you are drunk # chris christie #;;;
NONE; reformed broker to the hon ies gittin money playing # bleep # words like dummies # poppa #;;;
NONE; forgive # cheryl rios # of her stupid comments about women being president she will blame it on that time of the month anyways;;;
FAVOR; low key it would be interesting to have a female president;;;
FAVOR; low key it would be interesting to have a female president;;;
AGAINST; sean hannity we lost for , 000 of our military boys when your president pulled out of iraq # liberal consequences #;;;
NONE; ethan obama i know it 's just going to be a long year !;;;
AGAINST; technically , a president with raging hormones could refer to estrogen , testosterone or anabolic steroids # i blame public schools #;;;
AGAINST; does hillary really need to run this country ? could we just make her president of the bingo club at shady pines ? # t cot # # p2 #;;;
FAVOR; laughing out loud why do so many people around here hate hillary ?;;;
FAVOR; laughing out loud why do so many people around here hate hillary ?;;;
AGAINST; hillary clinton is at the top , and has spent her whole career growing government , keeping the deck stacked # liberty not hillary #;;;
NONE; problem with # libertarian # is it 's not even a decreed party a house divided against itself , will not stand think this news to;;;
FAVOR; hillary clinton i am portuguese and i support your campaign ! best luck ! the world need a person and a women like you ! # usa #;;;
FAVOR; hillary clinton i am portuguese and i support your campaign ! best luck ! the world need a person and a women like you ! # usa #;;;
AGAINST; hillary clinton for ambassador to isis;;;
FAVOR; so when all you brave patriots stop hillary , who you going to replace her with , jeb bush ? laughing out loud # losers #;;;
FAVOR; so when all you brave patriots stop hillary , who you going to replace her with , jeb bush ? laughing out loud # losers #;;;
AGAINST; i'm a woman can i be president ? stop hillary pac;;;
FAVOR; this is not her first time at the rodeo ! hillary clinton does n't care who likes her or not this woman is on a mission # tough #;;;
FAVOR; this is not her first time at the rodeo ! hillary clinton does n't care who likes her or not this woman is on a mission # tough #;;;
NONE; la jou et reine kar ratti paul i'm not a gen italian;;;
FAVOR; wondering what the next idiotic gop smear against hillary clinton will be it 's coming for sure just do n't know details yet;;;
FAVOR; wondering what the next idiotic gop smear against hillary clinton will be it 's coming for sure just do n't know details yet;;;
